media_id,status,amount
53504,PLANNING,92
53504,COMPLETED,80
53504,DROPPED,18
53504,PAUSED,21
1604,CURRENT,4713
1604,PLANNING,24518
1604,COMPLETED,33388
1604,DROPPED,5021
1604,PAUSED,5275
143393,CURRENT,15
143393,PLANNING,322
143393,COMPLETED,416
143393,DROPPED,11
143393,PAUSED,7
21677,CURRENT,440
21677,PLANNING,2578
21677,COMPLETED,3968
21677,DROPPED,1671
21677,PAUSED,370
85227,CURRENT,213
85227,PLANNING,645
85227,COMPLETED,212
85227,DROPPED,111
85227,PAUSED,91
8532,CURRENT,43
8532,PLANNING,799
8532,COMPLETED,2807
8532,DROPPED,38
8532,PAUSED,27
9023,CURRENT,41
9023,PLANNING,649
9023,COMPLETED,1699
9023,DROPPED,50
9023,PAUSED,31
91752,CURRENT,9
91752,PLANNING,91
91752,COMPLETED,100
91752,DROPPED,0
91752,PAUSED,1
47288,CURRENT,16
47288,PLANNING,151
47288,COMPLETED,52
47288,DROPPED,6
47288,PAUSED,4
135895,CURRENT,2
135895,PLANNING,15
135895,COMPLETED,7
135895,DROPPED,0
135895,PAUSED,0
53598,CURRENT,5
53598,PLANNING,82
53598,COMPLETED,24
53598,DROPPED,3
53598,PAUSED,0
16718,CURRENT,20
16718,PLANNING,346
16718,COMPLETED,317
16718,DROPPED,34
16718,PAUSED,16
10775,CURRENT,30
10775,PLANNING,478
10775,COMPLETED,462
10775,DROPPED,34
10775,PAUSED,21
169000,CURRENT,39
169000,PLANNING,1382
169000,COMPLETED,7
169000,DROPPED,13
169000,PAUSED,13
20760,CURRENT,154
20760,PLANNING,3207
20760,COMPLETED,4191
20760,DROPPED,86
20760,PAUSED,126
20882,CURRENT,108
20882,PLANNING,2314
20882,COMPLETED,5468
20882,DROPPED,60
20882,PAUSED,84
21588,CURRENT,253
21588,PLANNING,3701
21588,COMPLETED,12035
21588,DROPPED,85
21588,PAUSED,152
21501,CURRENT,99
21501,PLANNING,1766
21501,COMPLETED,5412
21501,DROPPED,51
21501,PAUSED,68
2951,CURRENT,91
2951,PLANNING,2249
2951,COMPLETED,7928
2951,DROPPED,68
2951,PAUSED,75
34836,CURRENT,14
34836,PLANNING,218
34836,COMPLETED,704
34836,DROPPED,4
34836,PAUSED,1
7472,CURRENT,378
7472,PLANNING,6454
7472,COMPLETED,22779
7472,DROPPED,130
7472,PAUSED,165
9735,CURRENT,89
9735,PLANNING,1928
9735,COMPLETED,4712
9735,DROPPED,57
9735,PAUSED,69
52810,CURRENT,6
52810,PLANNING,113
52810,COMPLETED,305
52810,DROPPED,4
52810,PAUSED,3
95458,CURRENT,11
95458,PLANNING,157
95458,COMPLETED,145
95458,DROPPED,6
95458,PAUSED,1
75757,CURRENT,9440
75757,PLANNING,8617
75757,COMPLETED,15557
75757,DROPPED,2706
75757,PAUSED,2649
110338,CURRENT,125
110338,PLANNING,584
110338,COMPLETED,1923
110338,DROPPED,13
110338,PAUSED,9
114043,CURRENT,8900
114043,PLANNING,25848
114043,COMPLETED,67811
114043,DROPPED,3110
114043,PAUSED,3491
109963,CURRENT,5912
109963,PLANNING,20882
109963,COMPLETED,99364
109963,DROPPED,1980
109963,PAUSED,2139
100773,CURRENT,4571
100773,PLANNING,14719
100773,COMPLETED,108315
100773,DROPPED,1276
100773,PAUSED,1529
101924,CURRENT,339
101924,PLANNING,5834
101924,COMPLETED,15344
101924,DROPPED,110
101924,PAUSED,152
99255,CURRENT,5040
99255,PLANNING,19292
99255,COMPLETED,144032
99255,DROPPED,1704
99255,PAUSED,2115
21518,CURRENT,5343
21518,PLANNING,17263
21518,COMPLETED,170592
21518,DROPPED,1985
21518,PAUSED,2295
20923,CURRENT,14031
20923,PLANNING,48683
20923,COMPLETED,218411
20923,DROPPED,10865
20923,PAUSED,8903
21691,CURRENT,554
21691,PLANNING,5132
21691,COMPLETED,20736
21691,DROPPED,182
21691,PAUSED,333
98702,CURRENT,698
98702,PLANNING,7903
98702,COMPLETED,32433
98702,DROPPED,226
98702,PAUSED,290
105229,CURRENT,18
105229,PLANNING,134
105229,COMPLETED,332
105229,DROPPED,4
105229,PAUSED,1
86160,CURRENT,458
86160,PLANNING,778
86160,COMPLETED,553
86160,DROPPED,105
86160,PAUSED,175
90653,CURRENT,28
90653,PLANNING,306
90653,COMPLETED,176
90653,DROPPED,16
90653,PAUSED,8
61499,CURRENT,5860
61499,PLANNING,10080
61499,COMPLETED,24302
