media_id,related_media_id,relation_type
143747,143749,SEQUEL
143749,100815,ADAPTATION
143749,96019,SEQUEL
143749,143747,PREQUEL
143749,100995,CHARACTER
96019,143749,PREQUEL
96019,143762,SEQUEL
143762,96019,PREQUEL
143762,143763,SEQUEL
143763,143762,PREQUEL
143763,143764,SEQUEL
143764,143763,PREQUEL
143764,100355,SEQUEL
143764,110415,CHARACTER
100355,143764,PREQUEL
100355,143775,SEQUEL
143775,100355,PREQUEL
143775,143776,SEQUEL
143776,143775,PREQUEL
143776,143778,SEQUEL
143778,143776,PREQUEL
143778,143780,SEQUEL
143780,143778,PREQUEL
143780,165881,SEQUEL
165881,143780,PREQUEL
110415,48162,CHARACTER
110415,39726,CHARACTER
110415,97629,CHARACTER
110415,51115,CHARACTER
110415,48161,CHARACTER
110415,45200,CHARACTER
110415,87272,CHARACTER
110415,108931,CHARACTER
110415,113428,CHARACTER
110415,143764,CHARACTER
48161,6594,ADAPTATION
48161,110415,CHARACTER
48161,100995,CHARACTER
48161,50983,SIDE_STORY
6594,48161,ADAPTATION
100995,51115,CHARACTER
100995,48161,CHARACTER
100995,97629,CHARACTER
100995,45200,CHARACTER
100995,48162,CHARACTER
100995,87272,CHARACTER
100995,108931,CHARACTER
100995,39726,CHARACTER
100995,113428,CHARACTER
100995,143749,CHARACTER
48162,58075,ADAPTATION
48162,143838,PARENT
48162,144028,SEQUEL
58075,48162,ADAPTATION
58075,87161,PREQUEL
87161,48162,ADAPTATION
87161,58075,SEQUEL
87161,144028,ADAPTATION
144028,48162,PREQUEL
144028,87161,ADAPTATION
144028,144029,SEQUEL
144029,144028,PREQUEL
144029,144030,SEQUEL
144030,144029,PREQUEL
144030,144031,SEQUEL
144031,144030,PREQUEL
144031,144032,SEQUEL
144032,144031,PREQUEL
144032,144033,SEQUEL
144033,144032,PREQUEL
143838,39726,PREQUEL
143838,48162,SPIN_OFF
143838,143839,SEQUEL
39726,21803,ADAPTATION
39726,87272,SPIN_OFF
39726,143838,SEQUEL
87272,39726,PARENT
87272,110415,CHARACTER
87272,100995,CHARACTER
87272,144085,SEQUEL
144085,144083,SEQUEL
144085,87272,PREQUEL
144083,144085,PREQUEL
144083,144086,SEQUEL
144086,144083,PREQUEL
144086,144087,SEQUEL
144087,144086,PREQUEL
21803,39726,ADAPTATION
21803,101912,CHARACTER
101912,21803,CHARACTER
143839,143838,PREQUEL
143839,143840,SEQUEL
143840,143839,PREQUEL
143840,143841,SEQUEL
143841,143840,PREQUEL
143841,143842,SEQUEL
143842,143841,PREQUEL
143842,153411,SEQUEL
153411,143842,PREQUEL
108931,110415,CHARACTER
108931,100995,CHARACTER
51115,110415,CHARACTER
51115,100995,CHARACTER
51115,144054,SEQUEL
144054,51115,PREQUEL
144054,144055,SEQUEL
144055,144054,PREQUEL
144055,144056,SEQUEL
144056,144055,PREQUEL
144056,144057,SEQUEL
144057,144056,PREQUEL
45200,110415,CHARACTER
45200,100995,CHARACTER
45200,126574,ADAPTATION
45200,126755,ADAPTATION
126755,45200,ADAPTATION
126755,126574,ALTERNATIVE
126574,45200,ADAPTATION
126574,126755,ALTERNATIVE
113428,103100,ALTERNATIVE
113428,110415,CHARACTER
113428,100995,CHARACTER
103100,113428,ALTERNATIVE
97629,86808,ADAPTATION
97629,99678,ADAPTATION
97629,110415,CHARACTER
97629,100995,CHARACTER
97629,144127,SEQUEL
86808,97629,ADAPTATION
86808,144128,ADAPTATION
86808,144129,ADAPTATION
86808,144127,ADAPTATION
86808,144133,ADAPTATION
86808,144130,ADAPTATION
86808,144131,ADAPTATION
144128,144127,PREQUEL
144128,144129,SEQUEL
144128,86808,ADAPTATION
144129,144128,PREQUEL
144129,144130,SEQUEL
144129,86808,ADAPTATION
144130,144129,PREQUEL
144130,144131,SEQUEL
144130,86808,ADAPTATION
144131,144130,PREQUEL
144131,144132,SEQUEL
144131,86808,ADAPTATION
144132,144131,PREQUEL
144132,144133,SEQUEL
144133,144132,PREQUEL
144133,144134,SEQUEL
144133,86808,ADAPTATION
144134,144133,PREQUEL
144134,144135,SEQUEL
144135,144134,PREQUEL
144135,144136,SEQUEL
144136,144135,PREQUEL
144136,144137,SEQUEL
144137,144136,PREQUEL
144137,144138,SEQUEL
144138,144137,PREQUEL
144127,97629,PREQUEL
144127,144128,SEQUEL
144127,86808,ADAPTATION
99678,97629,ADAPTATION
99678,74227,ADAPTATION
99678,20918,CHARACTER
74227,20918,ADAPTATION
74227,99678,ADAPTATION
74227,143726,PREQUEL
74227,143743,SEQUEL
143726,143724,PREQUEL
143726,85538,OTHER
143726,17074,ADAPTATION
143726,74227,SEQUEL
85538,143726,PARENT
143724,143722,PREQUEL
143724,17074,ADAPTATION
143724,143726,SEQUEL
143722,17074,ADAPTATION
143722,143721,PREQUEL
143722,143724,SEQUEL
20918,74227,ADAPTATION
20918,99678,CHARACTER
20918,21520,SIDE_STORY
20918,21745,SEQUEL
20918,21262,PREQUEL
21262,17074,PREQUEL
21262,20918,SEQUEL
21262,143747,ADAPTATION
21520,5081,PARENT
21520,11597,PARENT
21520,17074,PARENT
21520,20918,PARENT
21520,143743,ADAPTATION
11597,5081,PREQUEL
11597,17074,SEQUEL
11597,21520,SIDE_STORY
11597,95265,CHARACTER
11597,102859,OTHER
11597,143703,ADAPTATION
95265,11597,CHARACTER
102859,11597,PARENT
143703,143701,PREQUEL
143703,11597,ADAPTATION
143703,143704,SEQUEL
143743,21520,ADAPTATION
143743,143747,SEQUEL
143743,74227,PREQUEL
50983,48161,PARENT
104434,17074,PARENT
106790,61499,PARENT
77000,61499,CHARACTER
77000,65243,OTHER
65243,86054,SPIN_OFF
65243,20464,ADAPTATION
65243,20992,ADAPTATION
65243,21120,ADAPTATION
65243,21244,ADAPTATION
65243,21698,ADAPTATION
65243,98884,ADAPTATION
65243,106625,ADAPTATION
65243,107351,ADAPTATION
65243,109512,SPIN_OFF
65243,111790,ADAPTATION
